,countyFIPS,County Name,State
83,2158,Kusilvak Census Area ,AK
84,2164,Lake and Peninsula Borough ,AK
85,2170,Matanuska-Susitna Borough ,AK
86,2180,Nome Census Area ,AK
87,2185,North Slope Borough ,AK
88,2188,Northwest Arctic Borough ,AK
89,2195,Petersburg Borough ,AK
90,2198,Prince of Wales - Hyder Census Area ,AK
91,2220,City and Borough of Sitka,AK
92,2230,Municipality of Skagway,AK
93,2240,Southeast Fairbanks Census Area ,AK
94,2261,Valdez-Cordova Census Area ,AK
95,2275,City and Borough of Wrangell,AK
96,2282,City and Borough of Yakutat,AK
97,2290,Yukon-Koyukuk Census Area ,AK
98,0,Statewide Unallocated,AZ
99,4001,Apache County ,AZ
100,4003,Cochise County ,AZ
101,4005,Coconino County ,AZ
102,4007,Gila County ,AZ
103,4009,Graham County ,AZ
104,4011,Greenlee County ,AZ
105,4012,La Paz County ,AZ
106,4013,Maricopa County ,AZ
107,4015,Mohave County ,AZ
108,4017,Navajo County ,AZ
109,4019,Pima County ,AZ
110,4021,Pinal County ,AZ
111,4023,Santa Cruz County ,AZ
112,4025,Yavapai County ,AZ
113,4027,Yuma County ,AZ
114,0,Statewide Unallocated,AR
115,5001,Arkansas County ,AR
116,5003,Ashley County ,AR
117,5005,Baxter County ,AR
118,5007,Benton County ,AR
119,5009,Boone County ,AR
120,5011,Bradley County ,AR
121,5013,Calhoun County ,AR
122,5015,Carroll County ,AR
123,5017,Chicot County ,AR
124,5019,Clark County ,AR
125,5021,Clay County ,AR
126,5023,Cleburne County ,AR
127,5025,Cleveland County ,AR
128,5027,Columbia County ,AR
129,5029,Conway County ,AR
130,5031,Craighead County ,AR
131,5033,Crawford County ,AR
132,5035,Crittenden County ,AR
133,5037,Cross County ,AR
134,5039,Dallas County ,AR
135,5041,Desha County ,AR
136,5043,Drew County ,AR
137,5045,Faulkner County ,AR
138,5047,Franklin County ,AR
139,5049,Fulton County ,AR
140,5051,Garland County ,AR
141,5053,Grant County ,AR
142,5055,Greene County ,AR
143,5057,Hempstead County ,AR
144,5059,Hot Spring County ,AR
145,5061,Howard County ,AR
146,5063,Independence County ,AR
147,5065,Izard County ,AR
148,5067,Jackson County ,AR
149,5069,Jefferson County ,AR
150,5071,Johnson County ,AR
151,5073,Lafayette County ,AR
152,5075,Lawrence County ,AR
153,5077,Lee County ,AR
154,5079,Lincoln County ,AR
155,5081,Little River County ,AR
156,5083,Logan County ,AR
157,5085,Lonoke County ,AR
158,5087,Madison County ,AR
159,5089,Marion County ,AR
160,5091,Miller County ,AR
161,5093,Mississippi County ,AR
162,5095,Monroe County ,AR
163,5097,Montgomery County ,AR
164,5099,Nevada County ,AR
165,5101,Newton County ,AR
166,5103,Ouachita County ,AR
167,5105,Perry County ,AR
168,5107,Phillips County ,AR
169,5109,Pike County ,AR
170,5111,Poinsett County ,AR
171,5113,Polk County ,AR
172,5115,Pope County ,AR
173,5117,Prairie County ,AR
174,5119,Pulaski County ,AR
175,5121,Randolph County ,AR
176,5123,St. Francis County ,AR
177,5125,Saline County ,AR
178,5127,Scott County ,AR
179,5129,Searcy County ,AR
180,5131,Sebastian County ,AR
181,5133,Sevier County ,AR
182,5135,Sharp County ,AR
183,5137,Stone County ,AR
184,5139,Union County ,AR
185,5141,Van Buren County ,AR
186,5143,Washington County ,AR
187,5145,White County ,AR
188,5147,Woodruff County ,AR
189,5149,Yell County ,AR
190,0,Statewide Unallocated,CA
191,6001,Alameda County ,CA
192,6003,Alpine County ,CA
193,6005,Amador County ,CA
194,6007,Butte County ,CA
195,6009,Calaveras County ,CA
196,6011,Colusa County ,CA
197,6013,Contra Costa County ,CA
198,6015,Del Norte County ,CA
199,6017,El Dorado County ,CA
200,6019,Fresno County ,CA
201,6021,Glenn County ,CA
202,6023,Humboldt County ,CA
203,6025,Imperial County ,CA
204,6027,Inyo County ,CA
205,6029,Kern County ,CA
206,6031,Kings County ,CA
207,6033,Lake County ,CA
208,6035,Lassen County ,CA
209,6037,Los Angeles County ,CA
210,6039,Madera County ,CA
211,6041,Marin County ,CA
212,6043,Mariposa County ,CA
213,6045,Mendocino County ,CA
214,6047,Merced County ,CA
215,6049,Modoc County ,CA
216,6051,Mono County ,CA
217,6053,Monterey County ,CA
218,6055,Napa County ,CA
219,6057,Nevada County ,CA
220,6059,Orange County ,CA
221,6061,Placer County ,CA
222,6063,Plumas County ,CA
223,6065,Riverside County ,CA
224,6067,Sacramento County ,CA
225,6069,San Benito County ,CA
226,6071,San Bernardino County ,CA
227,6073,San Diego County ,CA
228,6075,City and County of San Francisco,CA
229,6077,San Joaquin County ,CA
230,6079,San Luis Obispo County ,CA
231,6081,San Mateo County ,CA
232,6083,Santa Barbara County ,CA
233,6085,Santa Clara County ,CA
234,6087,Santa Cruz County ,CA
235,6089,Shasta County ,CA
236,6091,Sierra County ,CA
237,6093,Siskiyou County ,CA
238,6095,Solano County ,CA
239,6097,Sonoma County ,CA
240,6099,Stanislaus County ,CA
241,6101,Sutter County ,CA
242,6103,Tehama County ,CA
243,6105,Trinity County ,CA
244,6107,Tulare County ,CA
245,6109,Tuolumne County ,CA
246,6111,Ventura County ,CA
247,6113,Yolo County ,CA
248,6115,Yuba County ,CA
249,0,Statewide Unallocated,CO
250,8001,Adams County ,CO
251,8003,Alamosa County ,CO
252,8005,Arapahoe County ,CO
253,8007,Archuleta County ,CO
254,8009,Baca County ,CO
255,8011,Bent County ,CO
256,8013,Boulder County ,CO
257,8014,City and County of Broomfield,CO
258,8015,Chaffee County ,CO
259,8017,Cheyenne County ,CO
260,8019,Clear Creek County ,CO
261,8021,Conejos County ,CO
262,8023,Costilla County ,CO
263,8025,Crowley County ,CO
264,8027,Custer County ,CO
265,8029,Delta County ,CO
266,8031,City and County of Denver,CO
267,8033,Dolores County ,CO
268,8035,Douglas County ,CO
269,8037,Eagle County ,CO
270,8039,Elbert County ,CO
271,8041,El Paso County ,CO
272,8043,Fremont County ,CO
273,8045,Garfield County ,CO
274,8047,Gilpin County ,CO
275,8049,Grand County ,CO
276,8051,Gunnison County ,CO
277,8053,Hinsdale County ,CO
278,8055,Huerfano County ,CO
279,8057,Jackson County ,CO
280,8059,Jefferson County ,CO
281,8061,Kiowa County ,CO
282,8063,Kit Carson County ,CO
283,8065,Lake County ,CO
284,8067,La Plata County ,CO
285,8069,Larimer County ,CO
286,8071,Las Animas County ,CO
287,8073,Lincoln County ,CO
288,8075,Logan County ,CO
289,8077,Mesa County ,CO
290,8079,Mineral County ,CO
291,8081,Moffat County ,CO
292,8083,Montezuma County ,CO
293,8085,Montrose County ,CO
294,8087,Morgan County ,CO
295,8089,Otero County ,CO
296,8091,Ouray County ,CO
297,8093,Park County ,CO
298,8095,Phillips County ,CO
299,8097,Pitkin County ,CO
300,8099,Prowers County ,CO
301,8101,Pueblo County ,CO
302,8103,Rio Blanco County ,CO
303,8105,Rio Grande County ,CO
304,8107,Routt County ,CO
305,8109,Saguache County ,CO
306,8111,San Juan County ,CO
307,8113,San Miguel County ,CO
308,8115,Sedgwick County ,CO
309,8117,Summit County ,CO
310,8119,Teller County ,CO
311,8121,Washington County ,CO
312,8123,Weld County ,CO
313,8125,Yuma County ,CO
314,0,Statewide Unallocated,CT
315,9001,Fairfield County ,CT
316,9003,Hartford County ,CT
317,9005,Litchfield County ,CT
318,9007,Middlesex County ,CT
319,9009,New Haven County ,CT
320,9011,New London County ,CT
321,9013,Tolland County ,CT
322,9015,Windham County ,CT
323,0,Statewide Unallocated,DE
324,10001,Kent County ,DE
325,10003,New Castle County ,DE
326,10005,Sussex County ,DE
327,0,Statewide Unallocated,DC
328,11001,District of Columbia ,DC
329,0,Statewide Unallocated,FL
330,12001,Alachua County ,FL
331,12003,Baker County ,FL
332,12005,Bay County ,FL
333,12007,Bradford County ,FL
334,12009,Brevard County ,FL
335,12011,Broward County ,FL
336,12013,Calhoun County ,FL
337,12015,Charlotte County ,FL
338,12017,Citrus County ,FL
339,12019,Clay County ,FL
340,12021,Collier County ,FL
341,12023,Columbia County ,FL
342,12027,DeSoto County ,FL
343,12029,Dixie County ,FL
344,12031,Duval County ,FL
345,12033,Escambia County ,FL
346,12035,Flagler County ,FL
347,12037,Franklin County ,FL
348,12039,Gadsden County ,FL
349,12041,Gilchrist County ,FL
350,12043,Glades County ,FL
351,12045,Gulf County ,FL
352,12047,Hamilton County ,FL
353,12049,Hardee County ,FL
354,12051,Hendry County ,FL
355,12053,Hernando County ,FL
356,12055,Highlands County ,FL
357,12057,Hillsborough County ,FL
358,12059,Holmes County ,FL
359,12061,Indian River County ,FL
360,12063,Jackson County ,FL
361,12065,Jefferson County ,FL
362,12067,Lafayette County ,FL
363,12069,Lake County ,FL
364,12071,Lee County ,FL
365,12073,Leon County ,FL
366,12075,Levy County ,FL
367,12077,Liberty County ,FL
368,12079,Madison County ,FL
369,12081,Manatee County ,FL
370,12083,Marion County ,FL
371,12085,Martin County ,FL
372,12086,Miami-Dade County ,FL
373,12087,Monroe County ,FL
374,12089,Nassau County ,FL
375,12091,Okaloosa County ,FL
376,12093,Okeechobee County ,FL
377,12095,Orange County ,FL
378,12097,Osceola County ,FL
379,12099,Palm Beach County ,FL
380,12101,Pasco County ,FL
381,12103,Pinellas County ,FL
382,12105,Polk County ,FL
383,12107,Putnam County ,FL
384,12109,St. Johns County ,FL
385,12111,St. Lucie County ,FL
386,12113,Santa Rosa County ,FL
387,12115,Sarasota County ,FL
388,12117,Seminole County ,FL
389,12119,Sumter County ,FL
390,12121,Suwannee County ,FL
391,12123,Taylor County ,FL
392,12125,Union County ,FL
393,12127,Volusia County ,FL
394,12129,Wakulla County ,FL
395,12131,Walton County ,FL
396,12133,Washington County ,FL
397,0,Statewide Unallocated,GA
398,13001,Appling County ,GA
399,13003,Atkinson County ,GA
400,13005,Bacon County ,GA
401,13007,Baker County ,GA
402,13009,Baldwin County ,GA
403,13011,Banks County ,GA
404,13013,Barrow County ,GA
405,13015,Bartow County ,GA
406,13017,Ben Hill County ,GA
407,13019,Berrien County ,GA
408,13021,Bibb County ,GA
409,13023,Bleckley County ,GA
410,13025,Brantley County ,GA
411,13027,Brooks County ,GA
412,13029,Bryan County ,GA
413,13031,Bulloch County ,GA
414,13033,Burke County ,GA
415,13035,Butts County ,GA
416,13037,Calhoun County ,GA
417,13039,Camden County ,GA
418,13043,Candler County ,GA
419,13045,Carroll County ,GA
420,13047,Catoosa County ,GA
421,13049,Charlton County ,GA
422,13051,Chatham County ,GA
423,13053,Chattahoochee County ,GA
424,13055,Chattooga County ,GA
425,13057,Cherokee County ,GA
426,13059,Clarke County ,GA
427,13061,Clay County ,GA
428,13063,Clayton County ,GA
429,13065,Clinch County ,GA
430,13067,Cobb County ,GA
431,13069,Coffee County ,GA
432,13071,Colquitt County ,GA
433,13073,Columbia County ,GA
434,13075,Cook County ,GA
435,13077,Coweta County ,GA
436,13079,Crawford County ,GA
437,13081,Crisp County ,GA
438,13083,Dade County ,GA
439,13085,Dawson County ,GA
440,13087,Decatur County ,GA
441,13089,DeKalb County ,GA
442,13091,Dodge County ,GA
443,13093,Dooly County ,GA
444,13095,Dougherty County ,GA
445,13097,Douglas County ,GA
446,13099,Early County ,GA
447,13101,Echols County ,GA
448,13103,Effingham County ,GA
449,13105,Elbert County ,GA
450,13107,Emanuel County ,GA
451,13109,Evans County ,GA
452,13111,Fannin County ,GA
453,13113,Fayette County ,GA
454,13115,Floyd County ,GA
455,13117,Forsyth County ,GA
456,13119,Franklin County ,GA
457,13121,Fulton County ,GA
458,13123,Gilmer County ,GA
459,13125,Glascock County ,GA
460,13127,Glynn County ,GA
461,13129,Gordon County ,GA
462,13131,Grady County ,GA
463,13133,Greene County ,GA
464,13135,Gwinnett County ,GA
465,13137,Habersham County ,GA
466,13139,Hall County ,GA
467,13141,Hancock County ,GA
468,13143,Haralson County ,GA
469,13145,Harris County ,GA
470,13147,Hart County ,GA
471,13149,Heard County ,GA
472,13151,Henry County ,GA
473,13153,Houston County ,GA
474,13155,Irwin County ,GA
475,13157,Jackson County ,GA
476,13159,Jasper County ,GA
477,13161,Jeff Davis County ,GA
478,13163,Jefferson County ,GA
479,13165,Jenkins County ,GA
480,13167,Johnson County ,GA
481,13169,Jones County ,GA
482,13171,Lamar County ,GA
483,13173,Lanier County ,GA
484,13175,Laurens County ,GA
485,13177,Lee County ,GA
486,13179,Liberty County ,GA
487,13181,Lincoln County ,GA
488,13183,Long County ,GA
489,13185,Lowndes County ,GA
490,13187,Lumpkin County ,GA
491,13189,McDuffie County ,GA
492,13191,McIntosh County ,GA
493,13193,Macon County ,GA
494,13195,Madison County ,GA
495,13197,Marion County ,GA
496,13199,Meriwether County ,GA
497,13201,Miller County ,GA
498,13205,Mitchell County ,GA
499,13207,Monroe County ,GA
500,13209,Montgomery County ,GA
501,13211,Morgan County ,GA
502,13213,Murray County ,GA
503,13215,Muscogee County ,GA
504,13217,Newton County ,GA
505,13219,Oconee County ,GA
506,13221,Oglethorpe County ,GA
507,13223,Paulding County ,GA
508,13225,Peach County ,GA
509,13227,Pickens County ,GA
510,13229,Pierce County ,GA
511,13231,Pike County ,GA
512,13233,Polk County ,GA
513,13235,Pulaski County ,GA
514,13237,Putnam County ,GA
515,13239,Quitman County ,GA
516,13241,Rabun County ,GA
517,13243,Randolph County ,GA
518,13245,Richmond County ,GA
519,13247,Rockdale County ,GA
520,13249,Schley County ,GA
521,13251,Screven County ,GA
522,13253,Seminole County ,GA
523,13255,Spalding County ,GA
524,13257,Stephens County ,GA
525,13259,Stewart County ,GA
526,13261,Sumter County ,GA
527,13263,Talbot County ,GA
528,13265,Taliaferro County ,GA
529,13267,Tattnall County ,GA
530,13269,Taylor County ,GA
531,13271,Telfair County ,GA
532,13273,Terrell County ,GA
533,13275,Thomas County ,GA
534,13277,Tift County ,GA
535,13279,Toombs County ,GA
536,13281,Towns County ,GA
537,13283,Treutlen County ,GA
538,13285,Troup County ,GA
539,13287,Turner County ,GA
540,13289,Twiggs County ,GA
541,13291,Union County ,GA
542,13293,Upson County ,GA
543,13295,Walker County ,GA
544,13297,Walton County ,GA
545,13299,Ware County ,GA
546,13301,Warren County ,GA
547,13303,Washington County ,GA
548,13305,Wayne County ,GA
549,13307,Webster County ,GA
550,13309,Wheeler County ,GA
551,13311,White County ,GA
552,13313,Whitfield County ,GA
553,13315,Wilcox County ,GA
554,13317,Wilkes County ,GA
555,13319,Wilkinson County ,GA
556,13321,Worth County ,GA
557,0,Statewide Unallocated,HI
558,15001,Hawaii County ,HI
559,15003,City and County of Honolulu,HI
560,15005,Kalawao County ,HI
561,15007,Kauai County ,HI
562,15009,Maui County ,HI
563,0,Statewide Unallocated,ID
564,16001,Ada County ,ID
565,16003,Adams County ,ID
566,16005,Bannock County ,ID
567,16007,Bear Lake County ,ID
568,16009,Benewah County ,ID
569,16011,Bingham County ,ID
570,16013,Blaine County ,ID
571,16015,Boise County ,ID
572,16017,Bonner County ,ID
573,16019,Bonneville County ,ID
574,16021,Boundary County ,ID
575,16023,Butte County ,ID
576,16025,Camas County ,ID
577,16027,Canyon County ,ID
578,16029,Caribou County ,ID
579,16031,Cassia County ,ID
580,16033,Clark County ,ID
581,16035,Clearwater County ,ID
582,16037,Custer County ,ID
583,16039,Elmore County ,ID
584,16041,Franklin County ,ID
585,16043,Fremont County ,ID
586,16045,Gem County ,ID
587,16047,Gooding County ,ID
588,16049,Idaho County ,ID
589,16051,Jefferson County ,ID
590,16053,Jerome County ,ID
591,16055,Kootenai County ,ID
592,16057,Latah County ,ID
593,16059,Lemhi County ,ID
594,16061,Lewis County ,ID
595,16063,Lincoln County ,ID
596,16065,Madison County ,ID
597,16067,Minidoka County ,ID
598,16069,Nez Perce County ,ID
599,16071,Oneida County ,ID
600,16073,Owyhee County ,ID
601,16075,Payette County ,ID
602,16077,Power County ,ID
603,16079,Shoshone County ,ID
604,16081,Teton County ,ID
605,16083,Twin Falls County ,ID
606,16085,Valley County ,ID
607,16087,Washington County ,ID
608,0,Statewide Unallocated,IL
609,17001,Adams County ,IL
610,17003,Alexander County ,IL
611,17005,Bond County ,IL
612,17007,Boone County ,IL
613,17009,Brown County ,IL
614,17011,Bureau County ,IL
615,17013,Calhoun County ,IL
616,17015,Carroll County ,IL
617,17017,Cass County ,IL
618,17019,Champaign County ,IL
619,17021,Christian County ,IL
620,17023,Clark County ,IL
621,17025,Clay County ,IL
622,17027,Clinton County ,IL
623,17029,Coles County ,IL
624,17031,Cook County ,IL
625,17033,Crawford County ,IL
626,17035,Cumberland County ,IL
627,17037,DeKalb County ,IL
628,17039,De Witt County ,IL
629,17041,Douglas County ,IL
630,17043,DuPage County ,IL
631,17045,Edgar County ,IL
632,17047,Edwards County ,IL
633,17049,Effingham County ,IL
634,17051,Fayette County ,IL
635,17053,Ford County ,IL
636,17055,Franklin County ,IL
637,17057,Fulton County ,IL
638,17059,Gallatin County ,IL
639,17061,Greene County ,IL
640,17063,Grundy County ,IL
641,17065,Hamilton County ,IL
642,17067,Hancock County ,IL
643,17069,Hardin County ,IL
644,17071,Henderson County ,IL
645,17073,Henry County ,IL
646,17075,Iroquois County ,IL
647,17077,Jackson County ,IL
648,17079,Jasper County ,IL
649,17081,Jefferson County ,IL
650,17083,Jersey County ,IL
651,17085,Jo Daviess County ,IL
652,17087,Johnson County ,IL
653,17089,Kane County ,IL
654,17091,Kankakee County ,IL
655,17093,Kendall County ,IL
656,17095,Knox County ,IL
657,17097,Lake County ,IL
658,17099,LaSalle County ,IL
659,17101,Lawrence County ,IL
660,17103,Lee County ,IL
661,17105,Livingston County ,IL
662,17107,Logan County ,IL
663,17109,McDonough County ,IL
664,17111,McHenry County ,IL
665,17113,McLean County ,IL
666,17115,Macon County ,IL
667,17117,Macoupin County ,IL
668,17119,Madison County ,IL
669,17121,Marion County ,IL
670,17123,Marshall County ,IL
671,17125,Mason County ,IL
672,17127,Massac County ,IL
673,17129,Menard County ,IL
674,17131,Mercer County ,IL
675,17133,Monroe County ,IL
676,17135,Montgomery County ,IL
677,17137,Morgan County ,IL
678,17139,Moultrie County ,IL
679,17141,Ogle County ,IL
680,17143,Peoria County ,IL
681,17145,Perry County ,IL
682,17147,Piatt County ,IL
683,17149,Pike County ,IL
684,17151,Pope County ,IL
685,17153,Pulaski County ,IL
686,17155,Putnam County ,IL
687,17157,Randolph County ,IL
688,17159,Richland County ,IL
689,17161,Rock Island County ,IL
690,17163,St. Clair County ,IL
691,17165,Saline County ,IL
692,17167,Sangamon County ,IL
693,17169,Schuyler County ,IL
694,17171,Scott County ,IL
695,17173,Shelby County ,IL
696,17175,Stark County ,IL
697,17177,Stephenson County ,IL
698,17179,Tazewell County ,IL
699,17181,Union County ,IL
700,17183,Vermilion County ,IL
701,17185,Wabash County ,IL
702,17187,Warren County ,IL
703,17189,Washington County ,IL
704,17191,Wayne County ,IL
705,17193,White County ,IL
706,17195,Whiteside County ,IL
707,17197,Will County ,IL
708,17199,Williamson County ,IL
709,17201,Winnebago County ,IL
710,17203,Woodford County ,IL
711,0,Statewide Unallocated,IN
712,18001,Adams County ,IN
713,18003,Allen County ,IN
714,18005,Bartholomew County ,IN
715,18007,Benton County ,IN
716,18009,Blackford County ,IN
717,18011,Boone County ,IN
718,18013,Brown County ,IN
719,18015,Carroll County ,IN
720,18017,Cass County ,IN
721,18019,Clark County ,IN
722,18021,Clay County ,IN
723,18023,Clinton County ,IN
724,18025,Crawford County ,IN
725,18027,Daviess County ,IN
726,18029,Dearborn County ,IN
727,18031,Decatur County ,IN
728,18033,DeKalb County ,IN
729,18035,Delaware County ,IN
730,18037,Dubois County ,IN
731,18039,Elkhart County ,IN
732,18041,Fayette County ,IN
733,18043,Floyd County ,IN
734,18045,Fountain County ,IN
735,18047,Franklin County ,IN
736,18049,Fulton County ,IN
737,18051,Gibson County ,IN
738,18053,Grant County ,IN
739,18055,Greene County ,IN
740,18057,Hamilton County ,IN
741,18059,Hancock County ,IN
742,18061,Harrison County ,IN
743,18063,Hendricks County ,IN
744,18065,Henry County ,IN
745,18067,Howard County ,IN
746,18069,Huntington County ,IN
747,18071,Jackson County ,IN
748,18073,Jasper County ,IN
749,18075,Jay County ,IN
750,18077,Jefferson County ,IN
751,18079,Jennings County ,IN
752,18081,Johnson County ,IN
753,18083,Knox County ,IN
754,18085,Kosciusko County ,IN
755,18087,LaGrange County ,IN
756,18089,Lake County ,IN
757,18091,LaPorte County ,IN
758,18093,Lawrence County ,IN
759,18095,Madison County ,IN
760,18097,Marion County ,IN
761,18099,Marshall County ,IN
762,18101,Martin County ,IN
763,18103,Miami County ,IN
764,18105,Monroe County ,IN
765,18107,Montgomery County ,IN
766,18109,Morgan County ,IN
767,18111,Newton County ,IN
768,18113,Noble County ,IN
769,18115,Ohio County ,IN
770,18117,Orange County ,IN
771,18119,Owen County ,IN
772,18121,Parke County ,IN
773,18123,Perry County ,IN
774,18125,Pike County ,IN
775,18127,Porter County ,IN
776,18129,Posey County ,IN
777,18131,Pulaski County ,IN
778,18133,Putnam County ,IN
779,18135,Randolph County ,IN
780,18137,Ripley County ,IN
781,18139,Rush County ,IN
782,18141,St. Joseph County ,IN
783,18143,Scott County ,IN
784,18145,Shelby County ,IN
785,18147,Spencer County ,IN
786,18149,Starke County ,IN
787,18151,Steuben County ,IN
788,18153,Sullivan County ,IN
789,18155,Switzerland County ,IN
790,18157,Tippecanoe County ,IN
791,18159,Tipton County ,IN
792,18161,Union County ,IN
793,18163,Vanderburgh County ,IN
794,18165,Vermillion County ,IN
795,18167,Vigo County ,IN
796,18169,Wabash County ,IN
797,18171,Warren County ,IN
798,18173,Warrick County ,IN
799,18175,Washington County ,IN
800,18177,Wayne County ,IN
801,18179,Wells County ,IN
802,18181,White County ,IN
803,18183,Whitley County ,IN
804,0,Statewide Unallocated,IA
805,19001,Adair County ,IA
806,19003,Adams County ,IA
807,19005,Allamakee County ,IA
808,19007,Appanoose County ,IA
809,19009,Audubon County ,IA
810,19011,Benton County ,IA
811,19013,Black Hawk County ,IA
812,19015,Boone County ,IA
813,19017,Bremer County ,IA
814,19019,Buchanan County ,IA
815,19021,Buena Vista County ,IA
816,19023,Butler County ,IA
817,19025,Calhoun County ,IA
818,19027,Carroll County ,IA
819,19029,Cass County ,IA
820,19031,Cedar County ,IA
821,19033,Cerro Gordo County ,IA
822,19035,Cherokee County ,IA
823,19037,Chickasaw County ,IA
824,19039,Clarke County ,IA
825,19041,Clay County ,IA
826,19043,Clayton County ,IA
827,19045,Clinton County ,IA
828,19047,Crawford County ,IA
829,19049,Dallas County ,IA
830,19051,Davis County ,IA
831,19053,Decatur County ,IA
832,19055,Delaware County ,IA
833,19057,Des Moines County ,IA
834,19059,Dickinson County ,IA
835,19061,Dubuque County ,IA
836,19063,Emmet County ,IA
837,19065,Fayette County ,IA
838,19067,Floyd County ,IA
839,19069,Franklin County ,IA
840,19071,Fremont County ,IA
841,19073,Greene County ,IA
842,19075,Grundy County ,IA
843,19077,Guthrie County ,IA
844,19079,Hamilton County ,IA
845,19081,Hancock County ,IA
846,19083,Hardin County ,IA
847,19085,Harrison County ,IA
848,19087,Henry County ,IA
849,19089,Howard County ,IA
850,19091,Humboldt County ,IA
851,19093,Ida County ,IA
852,19095,Iowa County ,IA
853,19097,Jackson County ,IA
854,19099,Jasper County ,IA
855,19101,Jefferson County ,IA
856,19103,Johnson County ,IA
857,19105,Jones County ,IA
858,19107,Keokuk County ,IA
859,19109,Kossuth County ,IA
860,19111,Lee County ,IA
861,19113,Linn County ,IA
862,19115,Louisa County ,IA
863,19117,Lucas County ,IA
864,19119,Lyon County ,IA
865,19121,Madison County ,IA
866,19123,Mahaska County ,IA
867,19125,Marion County ,IA
868,19127,Marshall County ,IA
869,19129,Mills County ,IA
870,19131,Mitchell County ,IA
871,19133,Monona County ,IA
872,19135,Monroe County ,IA
873,19137,Montgomery County ,IA
874,19139,Muscatine County ,IA
875,19141,O'Brien County ,IA
876,19143,Osceola County ,IA
877,19145,Page County ,IA
878,19147,Palo Alto County ,IA
879,19149,Plymouth County ,IA
880,19151,Pocahontas County ,IA
881,19153,Polk County ,IA
882,19155,Pottawattamie County ,IA
883,19157,Poweshiek County ,IA
884,19159,Ringgold County ,IA
885,19161,Sac County ,IA
886,19163,Scott County ,IA
887,19165,Shelby County ,IA
888,19167,Sioux County ,IA
889,19169,Story County ,IA
890,19171,Tama County ,IA
891,19173,Taylor County ,IA
892,19175,Union County ,IA
893,19177,Van Buren County ,IA
894,19179,Wapello County ,IA
895,19181,Warren County ,IA
896,19183,Washington County ,IA
897,19185,Wayne County ,IA
898,19187,Webster County ,IA
899,19189,Winnebago County ,IA
900,19191,Winneshiek County ,IA
901,19193,Woodbury County ,IA
902,19195,Worth County ,IA
903,19197,Wright County ,IA
904,0,Statewide Unallocated,KS
905,20001,Allen County ,KS
906,20003,Anderson County ,KS
907,20005,Atchison County ,KS
908,20007,Barber County ,KS
909,20009,Barton County ,KS
910,20011,Bourbon County ,KS
911,20013,Brown County ,KS
912,20015,Butler County ,KS
913,20017,Chase County ,KS
914,20019,Chautauqua County ,KS
